,TF,TG,occurrence(pct)
92,Stat3,Bhlhe40,100.0
93,Stat3,Cacna1d,100.0
94,Stat3,Ctla4,100.0
95,Stat3,Eea1,100.0
96,Stat3,Efnb2,100.0
97,Stat3,Gadd45b,100.0
98,Stat3,Gpm6b,100.0
99,Stat3,Hdac7,100.0
100,Stat3,Hif1a,100.0
101,Stat3,Igf1r,100.0
102,Stat3,Ikzf2,100.0
103,Stat3,Il21,100.0
105,Stat3,Maf,100.0
106,Stat3,Mrps6,100.0
107,Stat3,Nrp1,100.0
108,Stat3,Oxsr1,100.0
109,Stat3,Phactr2,100.0
110,Stat3,Plekho1,100.0
111,Stat3,Prelid2,100.0
112,Stat3,Ptms,100.0
113,Stat3,Ptpn1,100.0
114,Stat3,Rgs16,100.0
115,Stat3,Slc22a15,100.0
116,Stat3,Sostdc1,100.0
117,Stat3,Spock2,100.0
118,Stat3,Stat3,100.0
119,Stat3,Tbc1d4,100.0
120,Stat3,Tiam1,100.0
121,Stat3,Timp2,100.0
122,Stat3,Tlr7,100.0
123,Stat3,Tnfaip8,100.0
124,Stat3,Tox,100.0
125,Stat3,Tox2,100.0
126,Stat3,Trim8,100.0
127,Stat3,Tshz2,100.0
128,Stat3,Zfp36l1,100.0
66,Maf,Arl4c,100.0
67,Maf,Bhlhe40,100.0
68,Maf,Ctla4,100.0
69,Maf,Gadd45b,100.0
71,Maf,Hdac7,100.0
72,Maf,Hif1a,100.0
73,Maf,Ikzf2,100.0
74,Maf,Il21,100.0
75,Maf,Lag3,100.0
76,Maf,Lbh,100.0
77,Maf,Maf,100.0
78,Maf,Plekho1,100.0
79,Maf,Prkca,100.0
80,Maf,Ptms,100.0
81,Maf,Ptpn1,100.0
82,Maf,Rgs16,100.0
83,Maf,Selplg,100.0
84,Maf,Spock2,100.0
85,Maf,Stat3,100.0
86,Maf,Tbc1d4,100.0
87,Maf,Thy1,100.0
88,Maf,Timp2,100.0
89,Maf,Tox,100.0
90,Maf,Trim8,100.0
91,Maf,Zfp36l1,100.0
45,Il21,Cacna1d,100.0
46,Il21,Gadd45b,100.0
47,Il21,Gpr183,100.0
48,Il21,Hdac7,100.0
49,Il21,Igf1r,100.0
50,Il21,Ikzf2,100.0
54,Il21,Nrp1,100.0
56,Il21,Plekho1,100.0
58,Il21,Ptpn1,100.0
59,Il21,Rgs16,100.0
61,Il21,Stat3,100.0
63,Il21,Tiam1,100.0
64,Il21,Timp2,100.0
18,Ikzf2,Angptl2,100.0
19,Ikzf2,Cacna1d,100.0
20,Ikzf2,Ctla4,100.0
21,Ikzf2,Gpm6b,100.0
23,Ikzf2,Hdac7,100.0
25,Ikzf2,Ikzf2,100.0
27,Ikzf2,Lbh,100.0
28,Ikzf2,Maf,100.0
29,Ikzf2,Mrps6,100.0
31,Ikzf2,Phactr2,100.0
32,Ikzf2,Ptms,100.0
33,Ikzf2,Ptpn1,100.0
34,Ikzf2,Rgs16,100.0
35,Ikzf2,Sostdc1,100.0
36,Ikzf2,Stat3,100.0
37,Ikzf2,Tbc1d4,100.0
38,Ikzf2,Tiam1,100.0
39,Ikzf2,Tnfaip8,100.0
40,Ikzf2,Tox,100.0
42,Ikzf2,Trim8,100.0
43,Ikzf2,Tshz2,100.0
44,Ikzf2,Zfp36l1,100.0
1,Bhlhe40,Bhlhe40,90.0
2,Bhlhe40,Gadd45b,90.0
4,Bhlhe40,Hdac7,90.0
5,Bhlhe40,Hif1a,90.0
6,Bhlhe40,Igf1r,90.0
8,Bhlhe40,Maf,90.0
10,Bhlhe40,Prelid2,90.0
11,Bhlhe40,Ptms,90.0
12,Bhlhe40,Rgs16,90.0
13,Bhlhe40,Stat3,90.0
14,Bhlhe40,Tiam1,90.0
15,Bhlhe40,Timp2,90.0
16,Bhlhe40,Tnfrsf4,90.0
17,Bhlhe40,Tshz2,90.0
9,Bhlhe40,Mrps6,80.0
70,Maf,Gpr183,40.0
51,Il21,Il21,40.0
62,Il21,Tbc1d4,40.0
22,Ikzf2,Gpr183,40.0
26,Ikzf2,Il21,40.0
41,Ikzf2,Tox2,40.0
0,Bhlhe40,Arap2,40.0
7,Bhlhe40,Lag3,40.0
53,Il21,Mrps6,30.0
55,Il21,Phactr2,30.0
57,Il21,Prelid2,30.0
60,Il21,Sostdc1,30.0
65,Il21,Tox2,30.0
24,Ikzf2,Hif1a,30.0
3,Bhlhe40,Gpm6b,30.0
30,Ikzf2,Oxsr1,20.0
104,Stat3,Lag3,10.0
52,Il21,Maf,10.0
